Rowid_,GRID_ID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
,5,713060,71306000.000000000000000,14,99,85,49.484095307547754,18.385762924840716,35285129.000000000000000,18,43,19,43
,6,5281258,528125800.000000000000000,14,99,85,49.587584056677407,17.937397103357991,261884825.000000000000000,20,43,87,43
,7,8639039,863903900.000000000000000,23,99,76,45.605398007810820,7.237199421745434,393986812.000000000000000,24,43,40,44
,8,8694399,869439900.000000000000000,0,99,99,45.609863085418553,11.048830658529710,396550348.000000000000000,29,43,42,43
,9,8745471,874547100.000000000000000,0,99,99,46.285744930147274,12.847399808218887,404790640.000000000000000,29,43,42,43
,10,8822543,882254300.000000000000000,0,99,99,54.100721866699885,20.616365239739157,477305945.000000000000000,33,43,93,44
,11,8880201,888020100.000000000000000,0,99,99,48.786759556455983,14.337749158499140,433236231.000000000000000,28,44,93,44
,12,8771459,877145900.000000000000000,21,99,78,54.269326003803926,19.628504347560185,476021168.000000000000000,18,43,40,43
,13,8368050,836805000.000000000000000,21,99,78,61.209464929105344,19.598130745204173,512203863.000000000000000,24,43,40,54
,14,4141160,414116000.000000000000000,33,99,66,63.773860705695988,13.540685214099629,264097761.000000000000000,19,54,83,66
,21,4824936,482493600.000000000000000,12,99,87,47.040784167914353,14.761854706345700,226968773.000000000000000,23,43,87,43
,22,9000001,900000100.000000000000000,19,99,80,43.671150592094378,5.179389546484139,393040399.000000000000000,16,43,19,43
,23,8983291,898329100.000000000000000,12,99,87,44.748353470905037,7.016469740436389,401987481.000000000000000,30,43,14,43
,24,8992510,899251000.000000000000000,12,99,87,43.942962087337129,8.904875215967849,395157526.000000000000000,34,43,14,43
,25,8880165,888016500.000000000000000,0,99,99,46.173869967506235,14.277208686793388,410031584.000000000000000,35,43,54,43
,26,8931848,893184800.000000000000000,0,99,99,54.101202797002365,18.462989133894553,483223720.000000000000000,38,44,0,44
,27,8966074,896607400.000000000000000,0,99,99,60.958805269731208,21.504376215531675,546561159.000000000000000,32,43,93,44
