"Grid","1000m","1200m","1500m","2000m","2500m","3000m","3750m","4285m","5000m","6000m","7500m","min_scale"
6,2,0,0,-2,0,-2,-2,0,0,-2,0,1200
7,0,0,2,0,0,0,0,0,0,0,0,1000
8,0,0,0,0,0,0,0,0,0,0,0,1000
9,0,0,-2,0,0,-2,0,-2,-2,0,0,1000
10,0,0,-2,0,-2,-2,-2,0,0,0,0,1000
12,2,0,0,0,0,0,-2,0,0,0,0,1200
13,2,2,0,0,0,0,-2,0,0,0,0,1500
14,2,0,0,0,-2,-2,-2,0,0,0,0,1200
21,2,2,2,0,0,-2,-2,-2,-2,-2,-2,2000
22,0,2,0,0,-2,0,0,0,0,0,0,1000
23,0,0,0,0,0,0,0,0,0,0,0,1000
27,2,2,2,0,-2,-2,-2,-2,-2,-2,-2,2000
28,2,2,2,2,-2,0,-2,-2,-2,-2,-2,2500
29,2,2,2,0,-2,-2,-2,-2,-2,-2,-2,2000
30,2,2,2,2,2,2,2,2,0,0,0,5000
37,2,2,2,0,-2,-2,-2,-2,-2,-2,0,2000
38,2,0,2,0,0,-2,0,-2,0,0,-2,1200
39,2,0,0,0,-2,-2,-2,-2,-2,-2,-2,1200
40,2,2,0,0,-2,-2,-2,-2,-2,-2,0,1500
41,0,0,0,0,0,0,0,-2,0,0,0,1000
42,2,2,2,0,0,0,0,-2,0,0,0,2000
43,2,2,2,0,0,-2,-2,-2,-2,-2,-2,2000
44,2,2,2,2,2,2,-2,-2,-2,-2,-2,3750
45,2,2,2,2,2,2,2,2,2,2,2,9999
46,2,2,2,2,2,2,2,2,2,2,2,9999
53,2,2,2,2,2,0,-2,-2,-2,-2,0,3000
54,0,2,0,0,-2,-2,-2,-2,-2,-2,-2,1000
55,2,2,2,2,0,0,0,-2,-2,-2,-2,2500
56,2,2,2,0,-2,0,-2,-2,-2,0,-2,2000
57,2,2,0,-2,-2,-2,-2,-2,-2,-2,0,1500
58,2,2,2,0,0,0,-2,-2,-2,0,-2,2000
59,2,0,0,0,-2,-2,-2,-2,-2,-2,-2,1200
60,2,2,2,2,2,0,0,-2,-2,-2,-2,3000
61,2,2,2,2,2,2,2,2,2,2,2,9999
62,2,0,0,-2,-2,-2,-2,0,0,0,0,1200
69,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,2500
70,2,0,0,0,-2,-2,-2,-2,-2,-2,-2,1200
71,2,2,2,0,2,0,0,-2,0,0,0,2000
72,2,2,2,0,-2,-2,-2,-2,-2,-2,0,2000
73,2,2,2,0,0,-2,-2,-2,-2,-2,-2,2000
74,2,2,2,0,-2,-2,-2,-2,0,0,0,2000
75,0,0,-2,0,0,0,0,0,0,0,0,1000
76,2,2,2,0,-2,-2,-2,-2,-2,0,-2,2000
77,2,2,2,2,2,2,2,2,2,2,2,9999
78,0,0,0,2,0,-2,0,-2,0,0,0,1000
84,2,2,2,2,2,2,0,0,0,0,0,3750
85,2,2,2,0,0,0,-2,-2,-2,-2,-2,2000
86,2,2,2,2,-2,-2,-2,-2,-2,-2,-2,2500
87,2,2,2,2,2,2,2,2,2,2,2,9999
88,2,2,2,2,2,2,2,2,2,2,2,9999
89,2,2,2,2,2,2,2,2,-2,0,0,5000
90,2,2,2,0,0,-2,-2,-2,0,-2,0,2000
91,2,2,2,2,0,-2,-2,-2,-2,-2,-2,2500
92,0,2,0,-2,0,-2,-2,0,-2,0,0,1000
93,2,2,2,2,2,2,2,2,2,2,2,9999
94,0,0,0,0,0,0,0,0,0,0,0,1000
99,2,2,2,-2,0,-2,-2,-2,-2,0,0,2000
100,2,2,2,0,0,0,-2,-2,-2,-2,-2,2000
101,2,2,2,0,0,-2,-2,-2,-2,-2,-2,2000
102,2,2,2,2,2,2,2,2,2,2,2,9999
103,2,2,2,2,2,2,2,2,2,0,0,6000
104,2,2,2,2,2,2,2,2,2,2,2,9999
105,2,2,2,2,2,2,2,2,2,2,2,9999
106,2,2,2,0,-2,-2,-2,-2,-2,-2,-2,2000
107,2,2,2,2,2,2,2,2,2,2,2,9999
108,2,2,2,2,2,2,2,2,2,2,2,9999
109,2,2,2,2,2,2,2,2,2,2,2,9999
110,2,2,0,-2,0,-2,-2,0,0,-2,0,1500
113,0,2,0,0,0,0,0,0,0,0,0,1000
114,2,0,-2,0,-2,0,-2,0,0,0,-2,1200
115,2,2,2,0,0,0,-2,-2,-2,-2,0,2000
116,2,2,2,0,0,0,0,-2,0,0,0,2000
117,2,2,2,2,2,2,2,0,2,0,0,4285
118,2,2,2,2,2,2,2,2,2,2,2,9999
119,2,2,2,2,0,0,-2,-2,-2,-2,-2,2500
120,2,2,2,0,0,0,-2,-2,-2,0,0,2000
121,2,2,2,2,2,2,2,2,2,2,2,9999
122,2,2,2,2,2,2,2,2,2,2,2,9999
123,2,2,2,2,2,0,0,-2,-2,-2,-2,3000
124,2,2,2,0,-2,-2,-2,-2,-2,-2,0,2000
125,2,2,2,2,2,2,2,2,2,2,0,7500
126,2,2,2,2,2,2,2,2,2,2,2,9999
127,0,0,0,0,0,0,0,0,0,0,0,1000
129,0,0,0,0,-2,-2,-2,-2,0,0,0,1000
130,2,2,2,2,2,2,2,2,2,2,2,9999
131,2,2,2,2,2,2,2,0,0,0,-2,4285
132,2,2,2,2,2,2,2,0,-2,0,0,4285
133,2,2,2,2,2,2,2,2,2,2,2,9999
134,2,2,2,0,0,0,0,0,0,0,0,2000
135,2,0,0,0,-2,-2,-2,-2,-2,-2,-2,1200
136,0,2,0,-2,-2,0,0,0,0,0,0,1000
137,2,2,2,-2,-2,-2,-2,-2,-2,-2,-2,2000
138,2,0,2,2,-2,0,-2,0,0,0,-2,1200
139,0,2,0,-2,-2,-2,-2,-2,-2,-2,-2,1000
140,2,2,2,2,2,0,0,-2,-2,-2,-2,3000
141,2,0,0,-2,-2,0,-2,-2,-2,-2,-2,1200
142,2,2,0,0,-2,-2,-2,-2,-2,-2,-2,1500
143,0,0,0,0,0,0,0,-2,0,0,0,1000
145,0,0,0,0,0,0,0,0,-2,0,0,1000
146,2,2,2,2,2,2,2,2,2,2,2,9999
147,2,2,2,2,2,2,2,2,2,2,2,9999
148,2,2,2,2,2,2,2,2,2,2,2,9999
149,2,2,2,0,0,-2,-2,-2,-2,-2,-2,2000
150,0,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,1000
151,0,0,0,0,0,0,0,0,-2,0,0,1000
152,0,0,0,0,0,0,0,0,0,0,0,1000
153,2,0,0,0,0,0,0,0,0,-2,0,1200
154,0,0,0,0,-2,-2,0,-2,-2,0,0,1000
155,0,0,0,0,-2,0,0,0,0,0,-2,1000
156,2,2,2,0,-2,-2,-2,-2,-2,-2,-2,2000
157,2,2,0,0,0,-2,-2,-2,-2,-2,-2,1500
158,2,2,2,-2,-2,-2,-2,-2,-2,0,-2,2000
159,0,-2,0,0,0,-2,-2,-2,-2,-2,-2,1000
161,2,2,2,2,2,2,2,0,2,0,2,4285
162,2,2,2,2,2,2,2,2,2,2,2,9999
163,2,2,2,2,2,2,2,2,2,2,2,9999
164,2,2,2,2,2,2,2,2,2,2,2,9999
165,2,2,2,0,-2,-2,-2,-2,-2,-2,-2,2000
166,2,0,0,0,0,-2,0,0,0,0,0,1200
167,0,0,0,0,0,0,-2,0,0,0,0,1000
168,2,0,0,0,0,0,-2,0,0,0,0,1200
169,0,0,0,0,0,0,0,0,0,0,0,1000
170,2,0,0,-2,0,0,0,0,0,0,0,1200
171,2,0,0,-2,-2,0,0,0,0,0,0,1200
172,0,0,0,0,0,0,0,0,0,0,0,1000
173,2,2,0,0,-2,-2,-2,-2,-2,-2,-2,1500
174,2,2,2,0,0,0,-2,0,0,0,0,2000
175,0,0,0,0,0,0,0,0,0,0,0,1000
176,0,0,0,0,0,0,0,0,0,0,-2,1000
177,2,2,2,2,2,2,2,2,2,2,0,7500
178,2,2,2,2,2,0,2,2,0,0,0,3000
179,2,2,2,0,0,-2,0,-2,-2,-2,0,2000
180,2,2,2,2,2,2,2,2,2,2,2,9999
181,2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,1200
183,0,0,0,0,0,0,0,0,0,0,0,1000
184,2,0,-2,-2,0,0,0,0,0,0,0,1200
185,0,2,0,0,0,-2,-2,0,0,-2,0,1000
186,0,0,0,0,0,0,0,0,0,0,0,1000
187,2,0,0,0,0,-2,-2,-2,-2,0,-2,1200
188,0,0,0,0,0,0,0,0,0,0,0,1000
189,0,0,0,0,2,0,-2,0,0,0,0,1000
190,0,0,0,0,0,0,0,0,0,0,0,1000
193,2,2,2,2,2,2,2,2,2,2,2,9999
194,2,2,2,2,2,2,2,2,0,0,0,5000
195,2,2,2,2,2,2,2,2,2,2,0,7500
196,2,2,2,2,0,2,0,0,0,0,0,2500
197,2,2,0,0,0,-2,-2,-2,-2,-2,-2,1500
198,0,-2,0,0,0,0,0,0,0,0,0,1000
199,2,0,0,0,0,0,0,0,0,0,0,1200
200,2,2,0,0,0,-2,-2,-2,-2,0,0,1500
201,2,2,-2,-2,-2,-2,0,0,-2,0,0,1500
202,2,2,0,0,0,0,0,0,0,0,0,1500
203,0,0,0,0,0,0,0,0,0,0,0,1000
204,0,0,2,0,0,0,0,0,0,0,-2,1000
