Rowid_,GRID_ID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
,5,4951438,495143800.015505313873291,603,1256,653,940.264019664590364,184.024669987766799,4655658997.000000000000000,654,604,1256,930
,6,8737473,873747300.027361154556274,587,1227,640,830.100608379562345,121.914539593759230,7252981653.000000000000000,641,604,1227,858
,7,9000000,900000000.028183221817017,638,1436,798,965.629307777777740,84.950506502634497,8690663770.000000000000000,799,1001,1436,970
,8,9000000,900000000.028183221817017,763,1176,413,932.347339222222217,77.168543356720605,8391126053.000000000000000,414,790,1176,940
,9,9000000,900000000.028183221817017,762,1180,418,940.283450444444497,78.461439500637212,8462551054.000000000000000,419,950,1180,942
,10,9000000,900000000.028183221817017,739,1083,344,856.845585444444396,65.950243047573082,7711610269.000000000000000,345,790,1083,851
,11,9000000,900000000.028183221817017,731,1053,322,893.058417888888926,62.220179108953559,8037525761.000000000000000,323,950,1053,905
,12,9000000,900000000.028183221817017,779,1182,403,948.735536666666690,59.225192860534548,8538619830.000000000000000,404,864,1182,950
,13,9000000,900000000.028183221817017,679,994,315,797.874594777777816,45.117006506257930,7180871353.000000000000000,316,800,679,795
,14,8966675,896667500.028078913688660,573,831,258,638.273802942562270,69.966747882230720,5723193752.000000000000000,259,577,573,593
,15,254838,25483800.000798020511866,577,577,0,577.000000000000000,0.000000000000000,147041526.000000000000000,1,577,577,577
,20,804984,80498400.002520784735680,878,1161,283,1052.341271379306818,44.720862055398854,847117886.000000000000000,284,1040,884,1053
,21,8904166,890416600.027883172035217,603,1189,586,917.672587303516138,149.922453164561801,8171109051.000000000000000,587,612,603,965
,22,9000000,900000000.028183221817017,659,1246,587,999.763911555555524,102.478552778519756,8997875204.000000000000000,588,1002,1246,1004
,23,9000000,900000000.028183221817017,783,1440,657,1064.124102111111142,86.948903083614539,9577116919.000000000000000,653,1101,1424,1078
,24,9000000,900000000.028183221817017,771,1716,945,1055.465126999999939,110.149195610552212,9499186143.000000000000000,946,1091,1660,1059
,25,9000000,900000000.028183221817017,814,1493,679,1007.811043444444408,95.908327587558119,9070299391.000000000000000,680,880,814,1008
,26,9000000,900000000.028183221817017,773,1162,389,918.919590888888933,57.970600446714030,8270276318.000000000000000,390,843,773,913
,27,9000000,900000000.028183221817017,768,1060,292,845.516527444444478,44.403451084086541,7609648747.000000000000000,293,776,768,847
,28,9000000,900000000.028183221817017,776,1226,450,884.784443333333343,62.790448714497202,7963059990.000000000000000,448,840,777,869
,29,9000000,900000000.028183221817017,646,1130,484,816.781558222222202,60.821950073516504,7351034024.000000000000000,484,780,646,805
,30,8414755,841475500.026350617408752,577,821,244,631.231223606629101,66.203629029981585,5311656095.000000000000000,245,577,821,580
,31,363326,36332600.001137748360634,577,577,0,577.000000000000000,0.000000000000000,209639102.000000000000000,1,577,577,577
,36,1380621,138062100.004323393106461,711,1264,553,1028.410565969951222,109.822640434465654,1419845224.000000000000000,554,1102,711,1059
,37,9000000,900000000.028183221817017,607,1304,697,933.178693999999950,176.001798668867735,8398608246.000000000000000,698,620,1304,976
,38,9000000,900000000.028183221817017,623,1245,622,909.337353333333340,155.909862545480877,8184036180.000000000000000,623,660,623,944
,39,9000000,900000000.028183221817017,640,1249,609,882.030789777777727,149.706715055324935,7938277108.000000000000000,610,680,640,881
,40,9000000,900000000.028183221817017,682,1291,609,883.631229111111111,135.748308151635769,7952681062.000000000000000,610,720,682,864
,41,9000000,900000000.028183221817017,717,1253,536,961.472705666666684,114.691515301396322,8653254351.000000000000000,537,740,1253,967
,42,9000000,900000000.028183221817017,841,1112,271,924.493811555555567,54.514684494004939,8320444304.000000000000000,272,849,1112,923
,43,9000000,900000000.028183221817017,779,1017,238,841.275238777777759,40.043068221793824,7571477149.000000000000000,239,790,1017,837
,44,9000000,900000000.028183221817017,804,1234,430,903.264665333333369,56.721898211411521,8129381988.000000000000000,431,860,1231,886
,45,9000000,900000000.028183221817017,612,1336,724,878.143349555555574,114.001100727699864,7903290146.000000000000000,721,852,1306,870
,46,6744148,674414800.021119117736816,577,762,185,606.620822674709984,44.223636547890948,4091140608.000000000000000,186,581,762,581
,52,2708495,270849500.008481562137604,624,1267,643,976.989490473491742,160.541558657090945,2646171150.000000000000000,644,1103,1267,1037
,53,9000000,900000000.028183221817017,615,1331,716,937.794031333333351,204.562414504222147,8440146282.000000000000000,717,620,615,1011
,54,9000000,900000000.028183221817017,686,1348,662,1041.047685000000001,136.903599154972142,9369429165.000000000000000,663,1123,1348,1073
,55,9000000,900000000.028183221817017,672,1325,653,1012.308150888888918,144.695438990264250,9110773358.000000000000000,654,1085,672,1019
,56,9000000,900000000.028183221817017,744,1480,736,1021.809052888888914,136.482541666123666,9196281476.000000000000000,737,880,744,1000
,57,9000000,900000000.028183221817017,734,1589,855,928.572235999999975,152.631632690402881,8357150124.000000000000000,855,774,734,879
